movie_id,title,genre,rating,status,poster_image_url
1,Compatible Solution-Oriented Secured Line,Comedy,G,Ended,/posters/movie_1.jpg
2,Integrated Client-Driven Infrastructure,Action,PG-13,Now Showing,/posters/movie_2.jpg
3,Right-Sized Non-Volatile Installation,Drama,G,Ended,/posters/movie_3.jpg
4,Synergistic Even-Keeled Hub,Sci-Fi,G,Ended,/posters/movie_4.jpg
5,Ergonomic 24Hour Ability,Sci-Fi,G,Coming Soon,/posters/movie_5.jpg
6,Digitized Fresh-Thinking Pricing Structure,Horror,R,Ended,/posters/movie_6.jpg
7,Pre-Emptive Uniform Challenge,Drama,PG,Now Showing,/posters/movie_7.jpg
8,Secured Fresh-Thinking Challenge,Horror,PG-13,Ended,/posters/movie_8.jpg
9,Proactive Local Paradigm,Action,R,Coming Soon,/posters/movie_9.jpg
10,Ameliorated Radical Projection,Drama,PG,Ended,/posters/movie_10.jpg
11,Cloned Dedicated Strategy,Comedy,G,Coming Soon,/posters/movie_11.jpg
12,Progressive Maximized Infrastructure,Comedy,G,Ended,/posters/movie_12.jpg
13,Public-Key Actuating Alliance,Sci-Fi,R,Ended,/posters/movie_13.jpg
14,Persevering Regional Neural-Net,Comedy,G,Coming Soon,/posters/movie_14.jpg
15,Down-Sized Asynchronous Artificial Intelligence,Comedy,PG,Coming Soon,/posters/movie_15.jpg
16,Progressive Content-Based Orchestration,Drama,G,Coming Soon,/posters/movie_16.jpg
17,Decentralized Dynamic Intranet,Horror,G,Ended,/posters/movie_17.jpg
18,Seamless Holistic Algorithm,Comedy,R,Coming Soon,/posters/movie_18.jpg
19,Grass-Roots Reciprocal Concept,Comedy,R,Coming Soon,/posters/movie_19.jpg
20,Optional Tangible Firmware,Action,PG-13,Ended,/posters/movie_20.jpg
21,Vision-Oriented Contextually-Based System Engine,Drama,PG-13,Coming Soon,/posters/movie_21.jpg
22,Open-Source Tangible Secured Line,Sci-Fi,PG,Ended,/posters/movie_22.jpg
23,Multi-Tiered Dedicated Methodology,Comedy,R,Now Showing,/posters/movie_23.jpg
24,Enterprise-Wide Dedicated Website,Sci-Fi,R,Coming Soon,/posters/movie_24.jpg
25,Networked Real-Time Concept,Action,G,Now Showing,/posters/movie_25.jpg
26,Enterprise-Wide Upward-Trending Knowledgebase,Sci-Fi,PG,Now Showing,/posters/movie_26.jpg
27,Triple-Buffered Next Generation Initiative,Action,PG-13,Ended,/posters/movie_27.jpg
28,Team-Oriented Optimal Encoding,Sci-Fi,PG-13,Now Showing,/posters/movie_28.jpg
29,Public-Key System-Worthy Emulation,Horror,PG-13,Now Showing,/posters/movie_29.jpg
30,Business-Focused Bandwidth-Monitored Archive,Action,PG-13,Coming Soon,/posters/movie_30.jpg
31,Assimilated 3Rdgeneration Array,Action,PG,Now Showing,/posters/movie_31.jpg
32,Optimized Asynchronous Emulation,Drama,PG-13,Coming Soon,/posters/movie_32.jpg
33,Streamlined Bandwidth-Monitored Artificial Intelligence,Comedy,R,Ended,/posters/movie_33.jpg
34,Virtual Discrete Collaboration,Action,PG,Now Showing,/posters/movie_34.jpg
35,Organized Dedicated Success,Action,G,Ended,/posters/movie_35.jpg
36,User-Centric Static Knowledge User,Drama,G,Now Showing,/posters/movie_36.jpg
37,Total Dedicated Focus Group,Sci-Fi,G,Ended,/posters/movie_37.jpg
38,Monitored Motivating Synergy,Action,G,Now Showing,/posters/movie_38.jpg
39,Function-Based Next Generation Pricing Structure,Comedy,R,Ended,/posters/movie_39.jpg
40,Focused Maximized System Engine,Horror,PG-13,Coming Soon,/posters/movie_40.jpg
41,Multi-Layered Eco-Centric Benchmark,Horror,G,Ended,/posters/movie_41.jpg
42,Re-Engineered Interactive Orchestration,Drama,R,Coming Soon,/posters/movie_42.jpg
43,Mandatory Tangible Groupware,Sci-Fi,R,Coming Soon,/posters/movie_43.jpg
44,Organized Context-Sensitive Hierarchy,Comedy,G,Ended,/posters/movie_44.jpg
45,Cross-Platform Explicit Functionalities,Drama,G,Coming Soon,/posters/movie_45.jpg
46,Reduced 5Thgeneration Analyzer,Action,R,Coming Soon,/posters/movie_46.jpg
47,Customer-Focused Radical Intranet,Horror,R,Now Showing,/posters/movie_47.jpg
48,Optional Eco-Centric Project,Comedy,PG,Ended,/posters/movie_48.jpg
49,Visionary Systemic Hierarchy,Sci-Fi,G,Coming Soon,/posters/movie_49.jpg
50,Distributed Systematic Matrices,Sci-Fi,G,Now Showing,/posters/movie_50.jpg
51,Seamless Non-Volatile Ability,Comedy,PG,Now Showing,/posters/movie_51.jpg
52,User-Centric Impactful Algorithm,Comedy,R,Ended,/posters/movie_52.jpg
53,Enterprise-Wide 4Thgeneration Standardization,Sci-Fi,G,Ended,/posters/movie_53.jpg
54,Stand-Alone Bandwidth-Monitored Migration,Horror,PG,Now Showing,/posters/movie_54.jpg
55,Monitored Solution-Oriented Firmware,Action,PG,Coming Soon,/posters/movie_55.jpg
56,Open-Architected 3Rdgeneration Hardware,Comedy,R,Coming Soon,/posters/movie_56.jpg
57,Multi-Lateral Web-Enabled Model,Horror,PG,Coming Soon,/posters/movie_57.jpg
58,Front-Line Solution-Oriented Initiative,Action,PG,Coming Soon,/posters/movie_58.jpg
59,Organized Radical Knowledgebase,Sci-Fi,R,Now Showing,/posters/movie_59.jpg
60,Automated Zero-Defect Success,Action,PG,Ended,/posters/movie_60.jpg
61,Optional Upward-Trending Architecture,Action,R,Coming Soon,/posters/movie_61.jpg
62,Fully-Configurable Eco-Centric Infrastructure,Horror,R,Coming Soon,/posters/movie_62.jpg
63,Mandatory National Data-Warehouse,Comedy,PG-13,Now Showing,/posters/movie_63.jpg
64,Polarized Uniform Neural-Net,Sci-Fi,PG-13,Coming Soon,/posters/movie_64.jpg
65,Future-Proofed Fault-Tolerant Strategy,Horror,PG-13,Now Showing,/posters/movie_65.jpg
66,Self-Enabling Optimizing Neural-Net,Comedy,PG,Now Showing,/posters/movie_66.jpg
67,Cross-Group Solution-Oriented Core,Comedy,PG-13,Ended,/posters/movie_67.jpg
68,Inverse Content-Based Website,Horror,PG,Now Showing,/posters/movie_68.jpg
69,Reverse-Engineered Dedicated Synergy,Action,PG-13,Coming Soon,/posters/movie_69.jpg
70,Customizable Asymmetric Groupware,Sci-Fi,R,Ended,/posters/movie_70.jpg
71,Phased Client-Server Analyzer,Comedy,G,Ended,/posters/movie_71.jpg
72,Streamlined Real-Time Graphical User Interface,Horror,PG-13,Ended,/posters/movie_72.jpg
73,Configurable 24/7 Analyzer,Horror,PG-13,Coming Soon,/posters/movie_73.jpg
74,Expanded Contextually-Based Contingency,Comedy,R,Now Showing,/posters/movie_74.jpg
75,Cloned Multi-State Support,Drama,PG,Ended,/posters/movie_75.jpg
76,Reactive Clear-Thinking Leverage,Horror,PG,Now Showing,/posters/movie_76.jpg
77,Profound Leadingedge Firmware,Sci-Fi,R,Ended,/posters/movie_77.jpg
78,Operative Leadingedge Portal,Sci-Fi,R,Now Showing,/posters/movie_78.jpg
79,Mandatory 5Thgeneration Application,Comedy,R,Ended,/posters/movie_79.jpg
80,Profit-Focused Eco-Centric Functionalities,Horror,PG-13,Coming Soon,/posters/movie_80.jpg
81,Operative Radical Ability,Action,PG-13,Coming Soon,/posters/movie_81.jpg
82,Expanded Tertiary Complexity,Horror,PG,Coming Soon,/posters/movie_82.jpg
83,Realigned Responsive Application,Comedy,PG-13,Now Showing,/posters/movie_83.jpg
84,Front-Line Optimizing Projection,Drama,PG-13,Now Showing,/posters/movie_84.jpg
85,Customer-Focused Clear-Thinking Neural-Net,Horror,R,Coming Soon,/posters/movie_85.jpg
86,Cross-Group Incremental Intranet,Comedy,G,Coming Soon,/posters/movie_86.jpg
87,Future-Proofed Incremental Challenge,Drama,G,Now Showing,/posters/movie_87.jpg
88,Profit-Focused Static Parallelism,Drama,PG-13,Now Showing,/posters/movie_88.jpg
89,Self-Enabling Client-Server Encoding,Sci-Fi,PG-13,Coming Soon,/posters/movie_89.jpg
90,Stand-Alone Dedicated Secured Line,Sci-Fi,R,Ended,/posters/movie_90.jpg
91,Function-Based Tertiary Open System,Horror,R,Ended,/posters/movie_91.jpg
92,Centralized Content-Based Software,Sci-Fi,PG-13,Ended,/posters/movie_92.jpg
93,Inverse Context-Sensitive Frame,Horror,PG,Coming Soon,/posters/movie_93.jpg
94,Reverse-Engineered Content-Based Extranet,Comedy,PG-13,Ended,/posters/movie_94.jpg
95,Pre-Emptive Asymmetric Conglomeration,Drama,G,Ended,/posters/movie_95.jpg
96,Synchronized Impactful Knowledge User,Comedy,PG-13,Now Showing,/posters/movie_96.jpg
97,Fundamental Impactful Success,Comedy,PG-13,Coming Soon,/posters/movie_97.jpg
98,Face-To-Face Multi-Tasking Knowledge User,Horror,G,Now Showing,/posters/movie_98.jpg
99,Cross-Platform Fresh-Thinking Instruction Set,Drama,PG-13,Now Showing,/posters/movie_99.jpg
100,Self-Enabling Actuating Help-Desk,Drama,PG,Now Showing,/posters/movie_100.jpg
